Frequency (Thz)	Wavelength(nm)	n	k
75.000000	4000.000000	4.024980	0.000000e+00
76.691700	3911.766202	4.026120	0.000000e+00
78.383500	3827.336110	4.027260	0.000000e+00
80.075200	3746.478310	4.028440	0.000000e+00
81.766900	3668.966293	4.029650	0.000000e+00
83.458600	3594.596602	4.030860	0.000000e+00
85.150400	3523.177812	4.032140	0.000000e+00
86.842100	3454.545664	4.033420	0.000000e+00
88.533800	3388.536356	4.034720	0.000000e+00
90.225600	3324.998670	4.036090	0.000000e+00
91.917300	3263.803441	4.037460	0.000000e+00
93.609000	3204.820049	4.038830	0.000000e+00
95.300800	3147.927405	4.040840	0.000000e+00
96.992500	3093.022656	4.042890	0.000000e+00
98.684200	3040.000324	4.043730	0.000000e+00
100.376000	2988.762254	4.044840	0.000000e+00
102.068000	2939.216993	4.046650	0.000000e+00
103.759000	2891.315452	4.048290	0.000000e+00
105.451000	2844.923234	4.049830	0.000000e+00
107.143000	2799.996267	4.051110	0.000000e+00
108.835000	2756.466210	4.052410	0.000000e+00
110.526000	2714.293469	4.054160	0.000000e+00
112.218000	2673.367909	4.056430	0.000000e+00
113.910000	2633.658151	4.061550	0.000000e+00
115.602000	2595.110811	4.067190	0.000000e+00
117.293000	2557.697390	4.062540	0.000000e+00
118.985000	2521.326218	4.068440	0.000000e+00
120.677000	2485.974958	4.072910	0.000000e+00
122.368000	2451.621339	4.074940	0.000000e+00
124.060000	2418.184749	4.076980	0.000000e+00
125.752000	2385.647942	4.079080	0.000000e+00
127.444000	2353.975079	4.081260	0.000000e+00
129.135000	2323.150192	4.083440	0.000000e+00
130.827000	2293.104634	4.085570	0.000000e+00
132.519000	2263.826319	4.087570	0.000000e+00
134.211000	2235.286228	4.089570	0.000000e+00
135.902000	2207.473032	4.091570	0.000000e+00
137.594000	2180.327631	4.094450	0.000000e+00
139.286000	2153.841736	4.097580	0.000000e+00
140.977000	2128.006696	4.100710	0.000000e+00
142.669000	2102.769347	4.103840	0.000000e+00
144.361000	2078.123593	4.108630	1.733690e-05
146.053000	2054.048873	4.113520	3.559580e-05
147.744000	2030.539311	4.118400	5.381150e-05
149.436000	2007.548382	4.123270	7.198420e-05
151.128000	1985.072257	4.128140	9.011400e-05
152.820000	1963.093836	4.133000	1.082010e-04
154.511000	1941.609335	4.137850	1.262460e-04
156.203000	1920.577710	4.142700	1.442490e-04
157.895000	1899.996833	4.147550	1.622100e-04
159.586000	1879.864148	4.152390	1.801300e-04
161.278000	1860.142115	4.157220	1.980080e-04
162.970000	1840.829601	4.162050	2.158440e-04
164.662000	1821.913981	4.166870	2.336400e-04
166.353000	1803.393987	4.171680	2.513950e-04
168.045000	1785.236097	4.176500	2.691090e-04
169.737000	1767.440216	4.179770	2.976460e-04
171.429000	1749.995625	4.178910	3.554260e-04
173.120000	1732.902033	4.178050	4.132310e-04
174.812000	1716.129328	4.177190	4.710590e-04
176.504000	1699.678194	4.176330	5.289100e-04
178.195000	1683.548921	4.175470	5.867860e-04
179.887000	1667.713620	4.174610	6.446850e-04
181.579000	1652.173434	4.173750	7.026090e-04
183.271000	1636.920189	4.172890	7.605560e-04
184.962000	1621.954780	4.185050	1.378910e-03
186.654000	1607.251921	4.203200	2.252410e-03
188.346000	1592.813227	4.221280	3.118460e-03
190.038000	1578.631642	4.239290	3.977190e-03
191.729000	1564.708521	4.257220	4.828750e-03
193.421000	1551.020830	4.275000	5.688760e-03
195.113000	1537.570536	4.275670	1.052260e-02
196.805000	1524.351515	4.276340	1.535490e-02
198.496000	1511.365468	4.277010	2.018570e-02
200.188000	1498.591324	4.277700	2.501490e-02
201.880000	1486.031306	4.278380	2.984250e-02
203.571000	1473.687313	4.279080	3.466850e-02
205.263000	1461.539586	4.279770	3.949300e-02
206.955000	1449.590491	4.280480	4.431570e-02
208.647000	1437.835195	4.281180	4.913690e-02
210.338000	1426.275804	4.281900	5.395640e-02
212.030000	1414.894119	4.282620	5.877420e-02
213.722000	1403.692647	4.283340	6.359030e-02
